Output format is unaligned.
Field separator is "|".
mart|opportunity_event_pkey|CONSTRAINT_PRIMARY_KEY|postgres||table=opportunity_event;definition=PRIMARY KEY (opportunity_event_id)
mart|opportunity_event_status_check|CONSTRAINT_CHECK|postgres||table=opportunity_event;definition=CHECK ((status = ANY (ARRAY['QUALIFIED'::text, 'COVERAGE_INCOMPLETE'::text, 'MAPPING_INCOMPLETE'::text, 'INSUFFICIENT_PEERS'::text, 'INSUFFICIENT_EVIDENCE'::text, 'NEW_BASE_SIGNAL'::text, 'LOW_BASE'::text])))
mart|opportunity_rule_pkey|CONSTRAINT_PRIMARY_KEY|postgres||table=opportunity_rule;definition=PRIMARY KEY (rule_code)
mart|opportunity_type_pkey|CONSTRAINT_PRIMARY_KEY|postgres||table=opportunity_type;definition=PRIMARY KEY (opportunity_code)
mart|priority_entity_weight_pkey|CONSTRAINT_PRIMARY_KEY|postgres||table=priority_entity_weight;definition=PRIMARY KEY (entity_level)
mart|uk_dim_rule|CONSTRAINT_UNIQUE|postgres||table=mart_dimension_rule;definition=UNIQUE (source_schema, source_table, dimension_name, dimension_value)
meta|database_object_dictionary_pkey|CONSTRAINT_PRIMARY_KEY|postgres||table=database_object_dictionary;definition=PRIMARY KEY (dictionary_id)
meta|field_mapping_pkey|CONSTRAINT_PRIMARY_KEY|postgres||table=field_mapping;definition=PRIMARY KEY (mapping_id)
meta|fk_field_mapping_sheet|CONSTRAINT_FOREIGN_KEY|postgres||table=field_mapping;definition=FOREIGN KEY (source_sheet_name) REFERENCES meta.source_sheet_mapping(source_sheet_name)
meta|master_product_alias_alias_type_check|CONSTRAINT_CHECK|postgres||table=master_product_alias;definition=CHECK ((alias_type = ANY (ARRAY['COMMON'::text, 'SHORT_NAME'::text, 'OLD_NAME'::text, 'PLATFORM_SPECIFIC'::text])))
meta|master_product_alias_master_product_id_fkey|CONSTRAINT_FOREIGN_KEY|postgres||table=master_product_alias;definition=FOREIGN KEY (master_product_id) REFERENCES meta.master_product(master_product_id)
meta|master_product_alias_pkey|CONSTRAINT_PRIMARY_KEY|postgres||table=master_product_alias;definition=PRIMARY KEY (alias_id)
meta|master_product_master_product_code_key|CONSTRAINT_UNIQUE|postgres||table=master_product;definition=UNIQUE (master_product_code)
meta|master_product_merged_into_master_product_id_fkey|CONSTRAINT_FOREIGN_KEY|postgres||table=master_product;definition=FOREIGN KEY (merged_into_master_product_id) REFERENCES meta.master_product(master_product_id)
meta|master_product_pkey|CONSTRAINT_PRIMARY_KEY|postgres||table=master_product;definition=PRIMARY KEY (master_product_id)
meta|master_product_product_line_id_fkey|CONSTRAINT_FOREIGN_KEY|postgres||table=master_product;definition=FOREIGN KEY (product_line_id) REFERENCES meta.product_line(product_line_id)
meta|master_product_product_status_check|CONSTRAINT_CHECK|postgres||table=master_product;definition=CHECK ((product_status = ANY (ARRAY['ACTIVE'::text, 'DISCONTINUED'::text, 'MERGED'::text, 'TEST'::text])))
meta|master_sku_alias_alias_type_check|CONSTRAINT_CHECK|postgres||table=master_sku_alias;definition=CHECK ((alias_type = ANY (ARRAY['COMMON'::text, 'SHORT_NAME'::text, 'OLD_NAME'::text, 'PLATFORM_SPECIFIC'::text])))
meta|master_sku_alias_master_sku_id_fkey|CONSTRAINT_FOREIGN_KEY|postgres||table=master_sku_alias;definition=FOREIGN KEY (master_sku_id) REFERENCES meta.master_sku(master_sku_id)
meta|master_sku_alias_pkey|CONSTRAINT_PRIMARY_KEY|postgres||table=master_sku_alias;definition=PRIMARY KEY (alias_id)
meta|master_sku_master_product_id_fkey|CONSTRAINT_FOREIGN_KEY|postgres||table=master_sku;definition=FOREIGN KEY (master_product_id) REFERENCES meta.master_product(master_product_id)
meta|master_sku_master_sku_code_key|CONSTRAINT_UNIQUE|postgres||table=master_sku;definition=UNIQUE (master_sku_code)
meta|master_sku_pkey|CONSTRAINT_PRIMARY_KEY|postgres||table=master_sku;definition=PRIMARY KEY (master_sku_id)
meta|metric_formula_rule_pkey|CONSTRAINT_PRIMARY_KEY|postgres||table=metric_formula_rule;definition=PRIMARY KEY (metric_rule_id)
meta|platform_pkey|CONSTRAINT_PRIMARY_KEY|postgres||table=platform;definition=PRIMARY KEY (platform_code)
meta|platform_product_mapping_mapping_source_check|CONSTRAINT_CHECK|postgres||table=platform_product_mapping;definition=CHECK ((mapping_source = ANY (ARRAY['MANUAL'::text, 'EXACT_ID_RULE'::text, 'EXACT_NAME_SUGGESTION'::text, 'ALIAS_SUGGESTION'::text, 'AI_SUGGESTION'::text, 'IMPORT_FILE'::text])))
meta|platform_product_mapping_mapping_status_check|CONSTRAINT_CHECK|postgres||table=platform_product_mapping;definition=CHECK ((mapping_status = ANY (ARRAY['CONFIRMED'::text, 'SUGGESTED'::text, 'UNMAPPED'::text, 'CONFLICT'::text, 'DISABLED'::text])))
meta|platform_product_mapping_master_product_id_fkey|CONSTRAINT_FOREIGN_KEY|postgres||table=platform_product_mapping;definition=FOREIGN KEY (master_product_id) REFERENCES meta.master_product(master_product_id)
meta|platform_product_mapping_pkey|CONSTRAINT_PRIMARY_KEY|postgres||table=platform_product_mapping;definition=PRIMARY KEY (mapping_id)
meta|platform_product_mapping_shop_id_fkey|CONSTRAINT_FOREIGN_KEY|postgres||table=platform_product_mapping;definition=FOREIGN KEY (shop_id) REFERENCES meta.shop(shop_id)
meta|platform_sku_mapping_mapping_source_check|CONSTRAINT_CHECK|postgres||table=platform_sku_mapping;definition=CHECK ((mapping_source = ANY (ARRAY['MANUAL'::text, 'EXACT_ID_RULE'::text, 'EXACT_NAME_SUGGESTION'::text, 'ALIAS_SUGGESTION'::text, 'AI_SUGGESTION'::text, 'IMPORT_FILE'::text])))
meta|platform_sku_mapping_mapping_status_check|CONSTRAINT_CHECK|postgres||table=platform_sku_mapping;definition=CHECK ((mapping_status = ANY (ARRAY['CONFIRMED'::text, 'SUGGESTED'::text, 'UNMAPPED'::text, 'CONFLICT'::text, 'DISABLED'::text])))
meta|platform_sku_mapping_master_product_id_fkey|CONSTRAINT_FOREIGN_KEY|postgres||table=platform_sku_mapping;definition=FOREIGN KEY (master_product_id) REFERENCES meta.master_product(master_product_id)
meta|platform_sku_mapping_master_sku_id_fkey|CONSTRAINT_FOREIGN_KEY|postgres||table=platform_sku_mapping;definition=FOREIGN KEY (master_sku_id) REFERENCES meta.master_sku(master_sku_id)
meta|platform_sku_mapping_pkey|CONSTRAINT_PRIMARY_KEY|postgres||table=platform_sku_mapping;definition=PRIMARY KEY (mapping_id)
meta|platform_sku_mapping_shop_id_fkey|CONSTRAINT_FOREIGN_KEY|postgres||table=platform_sku_mapping;definition=FOREIGN KEY (shop_id) REFERENCES meta.shop(shop_id)
meta|product_line_pkey|CONSTRAINT_PRIMARY_KEY|postgres||table=product_line;definition=PRIMARY KEY (product_line_id)
meta|product_line_product_line_code_key|CONSTRAINT_UNIQUE|postgres||table=product_line;definition=UNIQUE (product_line_code)
meta|product_line_product_line_name_key|CONSTRAINT_UNIQUE|postgres||table=product_line;definition=UNIQUE (product_line_name)
meta|shop_pkey|CONSTRAINT_PRIMARY_KEY|postgres||table=shop;definition=PRIMARY KEY (shop_id)
meta|source_sheet_mapping_pkey|CONSTRAINT_PRIMARY_KEY|postgres||table=source_sheet_mapping;definition=PRIMARY KEY (source_sheet_name)
meta|source_sheet_mapping_source_sheet_code_key|CONSTRAINT_UNIQUE|postgres||table=source_sheet_mapping;definition=UNIQUE (source_sheet_code)
meta|uk_dict_obj_col|CONSTRAINT_UNIQUE|postgres||table=database_object_dictionary;definition=UNIQUE (schema_name, object_name, column_name)
meta|uk_field_mapping_sheet_column|CONSTRAINT_UNIQUE|postgres||table=field_mapping;definition=UNIQUE (source_sheet_name, source_column_name)
meta|uk_field_mapping_sheet_order|CONSTRAINT_UNIQUE|postgres||table=field_mapping;definition=UNIQUE (source_sheet_name, source_column_order)
meta|uk_metric_formula_rule|CONSTRAINT_UNIQUE|postgres||table=metric_formula_rule;definition=UNIQUE (target_schema, target_table, target_column_name)
meta|uk_shop_code|CONSTRAINT_UNIQUE|postgres||table=shop;definition=UNIQUE (platform_code, shop_code)
